,Donor Group PI,Build and/or Characterization Responsibilities,"Specific Donor Deliverables (raw data, processed data, file formats)",Recipient Group (commonly more than one group; add your name),Recipient Expectations (what data do you need from this donor group),Location of the data (at least an indication of where in data.imqcam.org or Box to search),Any other info or concern?,Gaps at the Interface and Proposed Reconciliation Approach,Current Examples of Transfers Accomplished
,Mohadeseh Taheri-Mousavi (CMU),Thermophysical property data thermal history simulation ,CSV with predicted temperature dependent properties at 1500 K (1000 composition ),"Rollett group, CMU: Greg Wong for microstructure simulations; also the Narra group for defect predictions",Tables (spreadsheet) of temperature and property value(s),,,,
,Mohadeseh Taheri-Mousavi (CMU),Microstructure and property (e.g. yield strength) estimation of alloy 718," 0.5 million data for composition, phase fraction and corresponding yield strength (HDF5 format)","Mahadevan & Karve, Vanderbilt university",Files are provided in hdf5 format.,,,,
,Mohadeseh Taheri-Mousavi (CMU),Phase volume fraction  data for experimental samples,CSV file with phase fraction and composition,"Tao Sun group, Northwestern","CSV files clearly documenting the feedstock compositions, processing parameters (for the XRD measured samples), and simulate phase fractions in as-printed and heat-treated Inconel 718 samples.",,,,
,Bryan Webler (CMU),"Ti6Al4V microstructure characterization data, as-built and post-heat treatment","Raw data: Electron microscope images (tiff), EBSD inverse pole figure maps (tiffs), EBSD raw data;
Processed data:  Averaged alpha lath spacing, averaged fraction of microstructure constituents (csv), prior beta grain orientations",Ghosh,"Recipient should expect a single file for each EBSD scan, eg., together with a README that specifies the sample numer+history, acquisition conditions etc., together with the results of analysis (e.g., stereologically corrected lath spacings)",,,,
,Bryan Webler (CMU),"Ti6Al4V tensile properties, as-built and post-heat treatments","Raw data: load displacement curves from tensile tests (csv)
Processed data: Tensile properties (YS, UTS, EL, RA) (csv)","Ghosh, Lewendowski",CWRU needs extra low stress ground tension samples to test at CWRU,,Tension samples must adhere to ASTM specs and give enough gage length and grip end to effectively use in grips,CWRU provided sample dimension requirements in December 2024,Initial discussions with Adcock/Webler and CWRU were held on Hv to Tension property correlations
,Unidentified Donor,,,,"-- specify file formats, metadata etc, --",,,,
,CMU: Tony Rollett: Greg Wong: Kathryn Jones,pointwise thermal histories,Temp-time histories generated by (e.g.) 3DThesis (ORNL),Bryan Webler: Sierra Green; for Ti64 phase transformed microstructure,"Tables (spreadsheet) of time and temperature (1 column for each point), with metadata to describe code used, location of each point, geometry of modeling domain, pre-heat etc.",,,re-formatting the output from 3Dthesis to be suitable for the Huck code,Common hdf5 file for storing pointwise thermal history and microstructure evolution history
,CMU: Tony Rollett: Greg Wong: Ioannis Delazios,Beta grain structures,3D microstructure images,Bryan Webler: Sierra Green; also Somnath Ghosh group,"input for the Ti64 microstructure as a 3D image in an HDF5 file, along with metadata (README) describing how the image (or set of images) was generated (e.g., TS-SPPARKS, PASS-scale, CA etc.)",,,,
,CMU: Tony Rollett: Greg Wong: Daniel Diaz,Stress & strain concentrations around pores,statistics of stress concentrations as a function ,Somnath Ghosh group,"spreadsheet containing values for each pore; metadata to describe sample history; in certain cases, full 3D images from MASSIF calculations",,,format(s) yet to be agreed upon,
,CMU: Tony Rollett: Greg Wong,,"Following data with sufficient details to quantify measurement and downstream postprocessing uncertainty. 
Porosity data including size, shape, location
Grain size and orientation
Precipitates and other secondary phases – size distribution, area/volume fraction. For each sample, a set of micrographs in full original resolution, along with statistical analysis (presumed to be on segmented images).",Karve / Mahadevan (VU),"Following data with sufficient details to quantify measurement and downstream postprocessing uncertainty. 
Porosity data including size, shape, location
Grain size and orientation
Precipitates and other secondary phases – size distribution, area/volume fraction. For each sample, a set of micrographs in full original resolution, along with statistical analysis (presumed to be on segmented images).",,,"The most likely gap is a lack of software to analyze (crystallographic) texture on the recipient side, leading to discussion of how best to assess variance (which will be substantial).",Greg Wang (Rollet group) shared 3D AM synthetic microstructure data with VVUQ group.
,Mohadeseh Taheri-Mousavi (CMU),,"Phase distributions from CALPHAD simulations for IN718 for various compositions, simulated temperatures, and thermal treatments. 
Data regarding calculations of properties with ICME simulations on CALPHAD data for each composition. ",Karve / Mahadevan (VU), Inputs-outputs for CALPHAD simulations: simulation data and parameter sets for the AM process simulation provided in hdf5 format.,,,,CMU group shared CALPHAD data and is actively collaborating with VVUQ group.
,Tao Sun (Northwestern),,"X-ray imaging and simulation of single-track LPBF of Ti64
Factors that affect the uncertainty in experiment and simulation
Parameter optimization process in Flow-3D simulation",Karve / Mahadevan (VU),"Inputs-outputs for FLOW 3D simulation: simulation data and parameter sets for the AM process simulation

Measurement data for uncertainty analysis",,,,
,Jaafar El-Awady (JHU),,,Ghosh group,,,,,
,Somnath Ghosh (JHU),,,Guest Group,,,,,
,Somnath Ghosh (JHU),,,Sobotka (SwRI),,,,,
,Jamie Guest (JHU),,,Ghosh group (Processing Enclave in the future),,,,,
,Harry Millwater (UTSA),,,Ghosh group; Guest Group,,,,,
,James Sobotka (SwRI),,,Lewandowski group ,,,,,
,Brendan Croom (JHU APL),,,Lewandowski group ,,,,,
,John Lewandowski,,,Ghosh Group,,,,,
,Sneha Narra,,,Ghosh Group,,,,,
,Caglar Oskay,,,Ghosh Group,,,,,
,Tony Rollett,,,Ghosh Group,,,,,
,Mohadeseh Taheri-Mousavi,,,Ghosh Group,,,,,
,John Lewandowski,,,SWRI,,,,,
,John Lewandowski,,,Rollett Group for Microstructure around FIB-notched and broken samples,,,,,
